0.070661,Piloswine,powder snow.avalanche.stone edge,Cloyster,ice shard.avalanche.hydro pump,Froslass,powder snow.avalanche.shadow ball
0.070739,Alolan ninetales,powder snow.ice beam.psyshock,Sneasel,ice shard.ice punch.foul play,Abomasnow,powder snow.outrage.blizzard
0.0710732,Cloyster,ice shard.avalanche.hydro pump,Sneasel,ice shard.ice punch.foul play,Abomasnow,powder snow.outrage.blizzard
0.0716829,Dewgong,ice shard.icy wind.water pulse,Froslass,powder snow.avalanche.shadow ball,Jynx,frost breath.avalanche.psyshock
0.0726829,Walrein,frost breath.water pulse.blizzard,Mamoswine,powder snow.avalanche.ancient power,Alolan ninetales,powder snow.ice beam.psyshock
0.0729927,Walrein,frost breath.water pulse.blizzard,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0733341,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Dewgong,ice shard.icy wind.water pulse
0.0733756,Walrein,frost breath.water pulse.blizzard,Cloyster,ice shard.avalanche.hydro pump,Abomasnow,powder snow.outrage.blizzard
0.0740951,Walrein,frost breath.water pulse.blizzard,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.psyshock
0.0741049,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.psyshock,Sneasel,ice shard.ice punch.foul play
0.0741415,Dewgong,ice shard.icy wind.water pulse,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0742854,Flygon,mud shot.dragon claw.earthquake,Walrein,frost breath.water pulse.blizzard,Sneasel,ice shard.ice punch.foul play
0.0742927,Piloswine,powder snow.avalanche.stone edge,Dewgong,ice shard.icy wind.water pulse,Jynx,frost breath.avalanche.psyshock
0.0757707,Gyarados,dragon breath.crunch.outrage,Jynx,frost breath.avalanche.psyshock,Sneasel,ice shard.ice punch.foul play
0.0769342,Dewgong,ice shard.icy wind.water pulse,Froslass,powder snow.avalanche.shadow ball,Sneasel,ice shard.ice punch.foul play
